JobID|User|Account|Partition|State|AllocCPUS|Elapsed|Start|End|NCPUS|NNodes|TotalCPU|UserCPU|SystemCPU|CPUTime
5858787.batch||novec-account||COMPLETED|1|00:00:03|2023-12-12T09:54:32|2023-12-12T09:54:35|1|1|00:01.505|00:01.075|00:00.429|00:00:03
5858788|team1337|novec-account|gpu|FAILED|44|00:28:33|2023-12-12T10:02:27|2023-12-12T10:31:00|44|1|00:03.812|00:02.437|00:01.375|20:56:12
5858789|ikissami|novec-account|gpu|FAILED|1|00:01:55|2023-12-12T10:03:26|2023-12-12T10:05:21|1|1|00:08.594|00:06.092|00:02.501|00:01:55
5858790|ikissami|novec-account|gpu|COMPLETED|2|00:01:10|2023-12-12T10:05:26|2023-12-12T10:06:36|2|2|00:08.653|00:06.485|00:02.168|00:02:20
5858791|ikissami|novec-account|gpu|COMPLETED|1|00:00:19|2023-12-12T10:09:20|2023-12-12T10:09:39|1|1|00:06.053|00:03.897|00:02.155|00:00:19
5858791.batch||novec-account||COMPLETED|1|00:00:19|2023-12-12T10:09:20|2023-12-12T10:09:39|1|1|00:06.053|00:03.897|00:02.155|00:00:19
5858792|ikissami|novec-account|gpu|COMPLETED|1|00:00:09|2023-12-12T10:12:45|2023-12-12T10:12:54|1|1|00:04.343|00:03.034|00:01.309|00:00:09
5858792.batch||novec-account||COMPLETED|1|00:00:09|2023-12-12T10:12:45|2023-12-12T10:12:54|1|1|00:04.343|00:03.034|00:01.309|00:00:09
5858793|ikissami|novec-account|gpu|COMPLETED|2|00:00:13|2023-12-12T10:13:03|2023-12-12T10:13:16|2|2|00:05.309|00:03.614|00:01.694|00:00:26
5858793.batch||novec-account||COMPLETED|1|00:00:13|2023-12-12T10:13:03|2023-12-12T10:13:16|1|1|00:05.309|00:03.614|00:01.694|00:00:13
5858794|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:04:47|2023-12-12T10:14:37|2023-12-12T10:19:24|1|1|00:36.417|00:23.296|00:13.120|00:04:47
5858794.batch||novec-account||CANCELLED|1|00:04:48|2023-12-12T10:14:37|2023-12-12T10:19:25|1|1|00:36.417|00:23.296|00:13.120|00:04:48
5858795|ikissami|novec-account|gpu|FAILED|1|00:02:30|2023-12-12T10:16:46|2023-12-12T10:19:16|1|1|00:25.278|00:19.332|00:05.945|00:02:30
5858796|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:02:34|2023-12-12T10:19:35|2023-12-12T10:22:09|1|1|00:27.362|00:18.251|00:09.111|00:02:34
5858796.batch||novec-account||CANCELLED|1|00:02:35|2023-12-12T10:19:35|2023-12-12T10:22:10|1|1|00:27.362|00:18.251|00:09.111|00:02:35
5858797|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:05:40|2023-12-12T10:22:17|2023-12-12T10:27:57|1|1|00:29.589|00:16.505|00:13.083|00:05:40
5858797.batch||novec-account||CANCELLED|1|00:05:41|2023-12-12T10:22:17|2023-12-12T10:27:58|1|1|00:29.589|00:16.505|00:13.083|00:05:41
5858798|ikissami|novec-account|gpu|FAILED|1|00:00:18|2023-12-12T10:25:01|2023-12-12T10:25:19|1|1|00:00.983|00:00.807|00:00.175|00:00:18
5858799|ikissami|novec-account|gpu|FAILED|1|00:00:10|2023-12-12T10:26:08|2023-12-12T10:26:18|1|1|00:00.251|00:00.110|00:00.141|00:00:10
5858800|ikissami|novec-account|gpu|FAILED|1|00:00:19|2023-12-12T10:26:29|2023-12-12T10:26:48|1|1|00:00.461|00:00.386|00:00.075|00:00:19
5858801|issam.aityahia|sccs-dna-account|shortq|FAILED|12|00:48:45|2023-12-12T10:27:02|2023-12-12T11:15:47|12|1|01:17:38|01:05:13|12:25.192|09:45:00
5858802|ikissami|novec-account|gpu|FAILED|1|00:00:01|2023-12-12T10:27:15|2023-12-12T10:27:16|1|1|00:00.007|00:00:00|00:00.007|00:00:01
5858803|ikissami|novec-account|gpu|FAILED|1|00:00:01|2023-12-12T10:27:25|2023-12-12T10:27:26|1|1|00:00.007|00:00.001|00:00.006|00:00:01
5858804|ikissami|novec-account|gpu|FAILED|1|00:00:00|2023-12-12T10:27:32|2023-12-12T10:27:32|1|1|00:00.008|00:00.001|00:00.007|00:00:00
5858805|ikissami|novec-account|gpu|FAILED|1|00:00:01|2023-12-12T10:28:12|2023-12-12T10:28:13|1|1|00:00.006|00:00:00|00:00.005|00:00:01
5858806|ikissami|novec-account|gpu|FAILED|1|00:00:52|2023-12-12T10:28:19|2023-12-12T10:29:11|1|1|00:00.643|00:00.467|00:00.176|00:00:52
5858807|ikissami|novec-account|gpu|TIMEOUT|1|00:06:22|2023-12-12T10:28:46|2023-12-12T10:35:08|1|1|00:21.687|00:09.583|00:12.104|00:06:22
5858807.batch||novec-account||CANCELLED|1|00:06:23|2023-12-12T10:28:46|2023-12-12T10:35:09|1|1|00:21.687|00:09.583|00:12.104|00:06:23
5858808|ilyas.bouziani|limset-account|gpu|FAILED|44|00:00:05|2023-12-12T10:30:00|2023-12-12T10:30:05|44|1|00:00.700|00:00.395|00:00.304|00:03:40
5858808.batch||limset-account||FAILED|44|00:00:05|2023-12-12T10:30:00|2023-12-12T10:30:05|44|1|00:00.700|00:00.395|00:00.304|00:03:40
5858809|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:05:10|2023-12-12T10:31:34|2023-12-12T10:36:44|1|1|00:01.344|00:00.976|00:00.367|00:05:10
5858810|ilyas.bouziani|limset-account|gpu|FAILED|44|00:34:53|2023-12-12T10:33:04|2023-12-12T11:07:57|44|1|1-01:11:58|23:45:07|01:26:51|1-01:34:52
5858810.batch||limset-account||FAILED|44|00:34:53|2023-12-12T10:33:04|2023-12-12T11:07:57|44|1|1-01:11:58|23:45:07|01:26:51|1-01:34:52
5858811|ilyas.bouziani|limset-account|gpu|FAILED|44|00:00:26|2023-12-12T10:33:17|2023-12-12T10:33:43|44|1|15:05.012|13:47.998|01:17.013|00:19:04
5858811.batch||limset-account||FAILED|44|00:00:26|2023-12-12T10:33:17|2023-12-12T10:33:43|44|1|15:05.012|13:47.998|01:17.013|00:19:04
5858812|ilyas.bouziani|limset-account|gpu|FAILED|44|00:37:31|2023-12-12T10:34:25|2023-12-12T11:11:56|44|1|1-02:59:45|1-01:26:15|01:33:30|1-03:30:44
5858812.batch||limset-account||FAILED|44|00:37:31|2023-12-12T10:34:25|2023-12-12T11:11:56|44|1|1-02:59:45|1-01:26:15|01:33:30|1-03:30:44
5858813|ilyas.bouziani|limset-account|gpu|FAILED|44|00:00:25|2023-12-12T10:35:34|2023-12-12T10:35:59|44|1|15:01.565|13:46.929|01:14.635|00:18:20
5858813.batch||limset-account||FAILED|44|00:00:25|2023-12-12T10:35:34|2023-12-12T10:35:59|44|1|15:01.565|13:46.929|01:14.635|00:18:20
5858814|ilyas.bouziani|limset-account|gpu|FAILED|44|00:04:05|2023-12-12T10:36:33|2023-12-12T10:40:38|44|1|02:55:55|02:46:17|09:37.480|02:59:40
5858814.batch||limset-account||FAILED|44|00:04:05|2023-12-12T10:36:33|2023-12-12T10:40:38|44|1|02:55:55|02:46:17|09:37.480|02:59:40
5858815|ikissami|novec-account|special|FAILED|8|00:00:01|2023-12-12T10:36:57|2023-12-12T10:36:58|8|2|00:00.188|00:00.134|00:00.053|00:00:08
5858815.batch||novec-account||FAILED|4|00:00:01|2023-12-12T10:36:57|2023-12-12T10:36:58|4|1|00:00.188|00:00.134|00:00.053|00:00:04
